text,label,source,group
Raps coach wants team to believe TORONTO -- The Toronto Raptors have to believe.,sport,AG,AG-sport
Owen has a point to prove warns Eriksson England coach Sven-Goran Eriksson has warned Wales that,sport,AG,AG-sport
Mayfield Chasing Win Jeremy Mayfield needs more than a victory at Dover International Speedway to get,sport,AG,AG-sport
"Teenager Answers Charges in Turkey-Throwing Case Striding purposefully but with his head down, Ryan Cushing, the",sport,AG,AG-sport
No.,sport,AG,AG-sport
Four more years -- of BCS frustration And you thought our nation #39;s president was a,sport,AG,AG-sport
McPherson gives Angels a lift Dallas McPherson had three hits and an RBI in his first,sport,AG,AG-sport
#39;I cannot be on the losing side #39; In the clickety-clack of football shoes trudging into,sport,AG,AG-sport
Olympic Soccer: Euphoric Iraq Reaches Semifinals  ATHENS (Reuters),sport,AG,AG-sport
Expos #39; relocation to Washington in peril NEW YORK,sport,AG,AG-sport
"Time to put up, shut up As incredible as it sounds, the Giants have hit must-win",sport,AG,AG-sport
Soccer World Cup: U.S. Beats Panama 6-0 (AP) AP,sport,AG,AG-sport
Stoudemire Scores 33 As Suns Top Clippers LOS ANGELES,sport,AG,AG-sport
Eagles DE McDougle Out for Browns Game (AP) AP,sport,AG,AG-sport
"Singh is first \$10 million man Palm Harbor, FL (Sports Network)",sport,AG,AG-sport
"Red Sox starters (Bronson Arroyo, Pedro Martinez, Curt Schilling &lt;b&gt;...&lt;/b&gt; 3) Rain may postpone Game 6.",sport,AG,AG-sport
"Holtz Is Retiring, and Spurrier Will Take Over Job South Carolina Coach Lou Holtz will retire",sport,AG,AG-sport
Garcia and Khan lead in Mallorca Sergio Garcia waltzed into a share of the lead at,sport,AG,AG-sport
"Ill-fated '95 hiring haunts Disney CEO search HOLLYWOOD, Calif.",business,AG,AG-business
In August Fed planted seed for more rate hikes WASHINGTON -- Federal Reserve policy makers suggested,business,AG,AG-business
"Rentokil rules out break-up Rentokil Initial, supplier of services ranging from security guards and pest control",business,AG,AG-business
New Home Sales Jump 9.4 Pct in August  WASHINGTON (Reuters),business,AG,AG-business
"Beazer notifies \$80.1 million 4Q profit Beazer Homes USA Inc., the US homebuilder, has announced that",business,AG,AG-business
High-Volume Toys Called a  Hazard Talking kitchens and vanities.,business,AG,AG-business
Philippines may face Argentine-style crisis Manila,business,AG,AG-business
Oil Up on Rosy U.S. Economic Data  LONDON (Reuters),business,AG,AG-business
"Dollar Crumbles Before Euro, New Low Hit The dollar sagged to a record low against the",business,AG,AG-business
Macquarie Bank trading halt MACQUARIE Bank Ltd announced a suspension of trading in its shares after the market closed today. Paterson Securities adviser Michael Heffernan said the trading halt could be related to two issues,business,AG,AG-business
"Insurance Broker's Cozy Ties May Prove Hard to Untangle As scrutiny of the insurance industry intensifies,",business,AG,AG-business
"Reports show jump in distillates, including heating oil SAN FRANCISCO (CBS.MW) -- Crude futures closed under",business,AG,AG-business
"Chinas new face Just back from three weeks in China, Ill spare you the boring slides",business,AG,AG-business
Petrol price cut sparks pump war The fall in crude oil prices has begun to reach,business,AG,AG-business
Stocks Extend Post-Election Rally  NEW YORK (Reuters),business,AG,AG-business
Online Trading Tips (The Motley Fool) The Motley Fool,business,AG,AG-business
"Knight: Quits As Nike CEO, President; Remains Chairman In one fell swoosh. Nike (nyse: NKE",business,AG,AG-business
Unanimous vote to raise British interest rates: official minutes (AFP) AFP,business,AG,AG-business
"Sumitomo puts \$29 bn takeover bid for UFJ Sumitomo Mitsui Financial Group (SMFG), Japans second largest",business,AG,AG-business
Peace ' key' to lower oil prices Oil prices will only fall if global conflicts are,business,AG,AG-business
"Indian Software Boom on Track, Industry Head Says India #39;s software exports are on track to",business,AG,AG-business
Lord Black to resign from Hollinger Inc.,business,AG,AG-business
FT gets Collins Stewart claim struck out The Financial Times today won its action to strike,business,AG,AG-business
"Near-bankrupt Alitalia approves relaunch plan ROME: After winning union backing for job cuts, Alitalia has given",business,AG,AG-business
EBay Earns Boost Tech Stocks; Dow Slips  NEW YORK (Reuters),business,AG,AG-business
sa return to mauritius top seeds south africa return to the scene of one of their,sport,UK,UK-sport
mexicans tracking unhappy juninho mexican outfit red sharks veracruz hope to sign juninho if the brazilian,sport,UK,UK-sport
desailly backs blues revenge trip marcel desailly insists there is no chance of history repeating itself,sport,UK,UK-sport
souness delight at euro progress boss graeme souness felt newcastle were never really in danger of,sport,UK,UK-sport
mourinho plots impressive course chelsea s win at fulham - confirming their position at the premiership,sport,UK,UK-sport
real will finish abandoned match real madrid and real socieded will play the final six minutes,sport,UK,UK-sport
wenger handed summer war chest arsenal boss arsene wenger has been guaranteed transfer funds to boost,sport,UK,UK-sport
newcastle 27-27 gloucester newcastle centre mathew tait answered his critics as he scored one try and,sport,UK,UK-sport
beckham rules out management move real madrid midfielder david beckham has no plans to become a,sport,UK,UK-sport
a year to remember for irish there used to be one subliminal moment during a year,sport,UK,UK-sport
thanou desperate to make return greek sprinter katerina thanou says she is eager to compete again,sport,UK,UK-sport
strachan turns down pompey former southampton manager gordon strachan has rejected the chance to become portsmouth,sport,UK,UK-sport
robertson out to retain euro lure hearts manager john robertson hopes a place in the knock-out,sport,UK,UK-sport
prodigy monfils blows away gaudio french prodigy gael monfils underlined his huge promise by beating french,sport,UK,UK-sport
wales coach elated with win mike ruddock paid tribute to his wales side after they came,sport,UK,UK-sport
merritt close to indoor 400m mark teenager lashawn merritt ran the third fastest indoor 400m of,sport,UK,UK-sport
connors boost for british tennis former world number one jimmy connors is planning a long-term relationship,sport,UK,UK-sport
o sullivan quick to hail italians ireland coach eddie o sullivan heaped praise on italy after,sport,UK,UK-sport
zambia confident and cautious zambia s technical director kalusha bwalya is confident and cautious ahead of,sport,UK,UK-sport
teenager tait picked for england newcastle s teenage centre mathew tait has been named as a,sport,UK,UK-sport
stuart joins norwich from addicks norwich have signed charlton midfielder graham stuart until the end of,sport,UK,UK-sport
weir poised for sunderland move larne s teenage star robbie weir is poised to join sunderland,sport,UK,UK-sport
tulu to appear at caledonian run two-time olympic 10 000 metres champion derartu tulu has confirmed,sport,UK,UK-sport
gerrard plays down european hopes steven gerrard has admitted that liverpool have little chance of winning,sport,UK,UK-sport
navratilova hits out at critics martina navratilova has defended her decision to prolong her tennis career,sport,UK,UK-sport
strong demand triggers oil rally crude oil prices surged back above the $47 a barrel mark,business,UK,UK-business
house prices drop as sales slow house prices fell further in november and property sale times,business,UK,UK-business
firms pump billions into pensions employers have spent billions of pounds propping up their final salary,business,UK,UK-business
italy to get economic action plan italian prime minister silvio berlusconi will unveil plans aimed at,business,UK,UK-business
parmalat bank barred from suing bank of america has been banned from suing parmalat the food,business,UK,UK-business
ebbers denies worldcom fraud former worldcom chief bernie ebbers has denied claims that he knew accountants,business,UK,UK-business
turkey-iran mobile deal at risk turkey s investment in iran s mobile industry looks set to,business,UK,UK-business
uk risks breaking golden rule the uk government will have to raise taxes or rein in,business,UK,UK-business
man utd to open books to glazer manchester united s board has agreed to give us,business,UK,UK-business
delta cuts fares in survival plan delta air lines is cutting domestic fares by as much,business,UK,UK-business
georgia plans hidden asset pardon georgia is offering a one-off tax amnesty to people who hid,business,UK,UK-business
qantas considers offshore option australian airline qantas could transfer as many as 7 000 jobs out,business,UK,UK-business
ethiopia s crop production up 24% ethiopia produced 14.27 million tonnes of crops in 2004 24%,business,UK,UK-business
yukos seeks court action on sale yukos will return to a us court on wednesday to,business,UK,UK-business
ukraine trims privatisation check ukraine is to review dozens of state asset sales as the country,business,UK,UK-business
bank voted 8-1 for no rate change the decision to keep interest rates on hold at,business,UK,UK-business
us airways staff agree to pay cut a union representing 5 200 flight attendants at bankrupt,business,UK,UK-business
consumers drive french economy france s economic growth accelerated in the last three months of 2004,business,UK,UK-business
dollar drops on reserves concerns the us dollar has dropped against major currencies on concerns that,business,UK,UK-business
russia gets investment blessing soaring oil sales and a budget surplus mean russian debt is no,business,UK,UK-business
umbro profits lifted by euro 2004 uk sportswear firm umbro has posted a 222% rise in,business,UK,UK-business
ore costs hit global steel firms shares in steel firms have dropped worldwide amid concerns that,business,UK,UK-business
air passengers win new eu rights air passengers who are unable to board their flights because,business,UK,UK-business
australia rates at four year high australia is raising its benchmark interest rate to its highest,business,UK,UK-business
singapore growth at 8.1% in 2004 singapore s economy grew by 8.1% in 2004 its best,business,UK,UK-business
lifestyle governs mobile choice faster better or funkier hardware alone is not going to help phone,tech,UK,UK-tech
microsoft seeking spyware trojan microsoft is investigating a trojan program that attempts to switch off the,tech,UK,UK-tech
rings of steel combat net attacks gambling is hugely popular  especially with tech-savvy criminals.,tech,UK,UK-tech
microsoft releases bumper patches microsoft has warned pc users to update their systems with the latest,tech,UK,UK-tech
dvd copy protection strengthened dvds will be harder to copy thanks to new anti-piracy measures devised,tech,UK,UK-tech
gadget growth fuels eco concerns technology firms and gadget lovers are being urged to think more,tech,UK,UK-tech
us duo in first spam conviction a brother and sister in the us have been convicted,tech,UK,UK-tech
us cyber security chief resigns the man making sure us computer networks are safe and secure,tech,UK,UK-tech
junk e-mails on relentless rise spam traffic is up by 40% putting the total amount of,tech,UK,UK-tech
gadgets galore on show at fair the 2005 consumer electronics show in las vegas is a,tech,UK,UK-tech
iran jails blogger for 14 years an iranian weblogger has been jailed for 14 years on,tech,UK,UK-tech
halo 2 heralds traffic explosion the growing popularity of online gaming could spell problems for net,tech,UK,UK-tech
apple unveils low-cost mac mini apple has unveiled a new low-cost macintosh computer for the masses,tech,UK,UK-tech
california sets fines for spyware the makers of computer programs that secretly spy on what people,tech,UK,UK-tech
video phones act as dating tools technologies from e-mail to net chatrooms instant messaging and mobiles,tech,UK,UK-tech
security warning over fbi virus the us federal bureau of investigation is warning that a computer,tech,UK,UK-tech
web photo storage market hots up an increasing number of firms are offering web storage for,tech,UK,UK-tech
games deserve a place in class computer games could enhance learning and have a legitimate place,tech,UK,UK-tech
new consoles promise big problems making games for future consoles will require more graphic artists and,tech,UK,UK-tech
britons growing digitally obese gadget lovers are so hungry for digital data many are carrying the,tech,UK,UK-tech
cheaper chip for mobiles a mobile phone chip which combines a modem and a computer processor,tech,UK,UK-tech
firefox browser takes on microsoft microsoft s internet explorer has a serious rival in the long-awaited,tech,UK,UK-tech
millions buy mp3 players in us one in 10 adult americans - equivalent to 22 million,tech,UK,UK-tech
gangsters dominate gaming chart video games on consoles and computers proved more popular than ever in,tech,UK,UK-tech
tough rules for ringtone sellers firms that flout rules on how ringtones and other mobile extras,tech,UK,UK-tech
kennedy criticises unfair taxes gordon brown has failed to tackle the fundamental unfairness in the tax,politics,UK,UK-politics
mrs howard gets key election role michael howard s ex-model wife sandra is to play a,politics,UK,UK-politics
ban on hunting comes into force fox hunting with dogs is now illegal in england and,politics,UK,UK-politics
kelly trails new discipline power teachers could get more powers to remove unruly pupils from classes,politics,UK,UK-politics
final hunts held as ban looms hunts in england and wales have begun on the last,politics,UK,UK-politics
election could be terror target terrorists might try to target the uk in the run-up to,politics,UK,UK-politics
blair says uk tsunami aid to soar tony blair has predicted the british government will eventually,politics,UK,UK-politics
hague given up his pm ambition former conservative leader william hague says he will not stand,politics,UK,UK-politics
blair says mayor should apologise tony blair has urged london mayor ken livingstone to apologise for,politics,UK,UK-politics
labour s election love-in peace and love have been in short supply in the labour party,politics,UK,UK-politics
pre-poll clash on tax and spend labour and the tories have clashed over tax and spending,politics,UK,UK-politics
blunkett unveils policing plans people could be given the mobile phone number of their local bobby,politics,UK,UK-politics
blair hails turkey-eu talks deal tony blair has hailed a deal bringing turkey a step closer,politics,UK,UK-politics
super union merger plan touted two of britain s big trade unions could merge to form,politics,UK,UK-politics
the memory driving brown s mission the memory gordon brown says keeps returning to him -,politics,UK,UK-politics
few ready for information act thousands of public bodies are ill-prepared for the freedom of information,politics,UK,UK-politics
blair ready to call election tony blair seems certain to end weeks of phoney war on,politics,UK,UK-politics
campaign cold calls questioned labour and the conservatives are still telephoning the millions of people who,politics,UK,UK-politics
campaign cold calls questioned labour and the conservatives are still telephoning the millions of people who,politics,UK,UK-politics
choose hope over fear - kennedy voters will have a clear choice between the politics of,politics,UK,UK-politics
clarke defends terror detentions the home secretary has defended his decision not to release foreign terror,politics,UK,UK-politics
protesters plan airport challenge campaigners against the expansion of britain s airports have begun challenging the,politics,UK,UK-politics
tv debate urged for party chiefs broadcasters should fix a date for a pre-election televised debate,politics,UK,UK-politics
brown and blair face new rift claims for the umpteenth time tony blair and gordon brown,politics,UK,UK-politics
labour battle plan hides blair the tories have accused tony blair of being terrified of scrutiny,politics,UK,UK-politics
